state,x,y
Acre,310,1124
Alagoas,2194,1192
Amapá,1297,611
Amazonas,666,902
Bahia,1757,1298
Ceará,1912,920
Distrito Federal,1456,1383
Espírito Santo,2030,1666
Goiás,1368,1515
Maranhão,1623,917
Mato Grosso do Sul,1149,1697
Mato Grosso,1110,1321
Minas Gerais,1625,1625
Pará,1243,917
Paraíba,2227,1046
Paraná,1285,1897
Pernambuco,2281,1124
Piauí,1717,1080
Rio de Janeiro,1927,1821
Rio Grande do Norte,2370,983
Rio Grande do Sul,1209,2150
Rondônia,769,1254
Roraima,678,393
Santa Catarina,1604,2037
São Paulo,1395,1767
Sergipe,2107,1270
Tocantins,1450,1186
